demo_id,review_id,review_text,source_dataset,source_record_index,usage
DEMO_11,HTL_R05863,服务态度还可以，离景点也近，一入住的时候觉的还不错，可是晚上被咯吱咯吱的声音惊醒，还以为是床的质量不好，可是一开灯，发现一只老鼠正在肯我带去的小麻花，而且还和我们对视一分钟后才跑了。把我恶心的把所有的零食全扔了。告诉酒店，前台说让服务员过去看一下，难道老鼠还会乖乖的等你来看吗？退房的时候又提起此事，找经理说没上班，一句对不起就把我们给打发了。小地方的酒店真的不能住啊！,ChnSentiCorp_htl_all,5863,demo_only_unlabeled
DEMO_12,HTL_R04365,非常不错，大大出乎意料，大堂不气派，但是房间真的不错，给我们安排了一间很大的房间。床很舒服，就是由于房间太大，电视距离远，没办法躺在床上看。但是干净、卫生、舒适、闹中取静。地理位置也不错！下次还来！,ChnSentiCorp_htl_all,4365,demo_only_unlabeled
DEMO_13,HTL_R04573,"交通便利,恰好位于解放西路和黄兴中路的交界处；出门一拐就是步行街，而且濒临湘江。房间条件比三星要好一点（我住的豪华）；晚上附近的歌厅有一点点吵，12点以后没多大动静。免费宽带上网和早餐，自助早餐还不错。总之条件虽然不是很豪华，但是住着舒服方便；性价比不错。推荐入住。",ChnSentiCorp_htl_all,4573,demo_only_unlabeled
DEMO_14,HTL_R00865,开始订的大房单人间，但去了酒店告诉我没有携程预订，我刚要打电话询问，又告诉我有了一间。去看，房间太小，小得刚好放一张床。于是退了又订了一个商务行政套间。套间还不错，房间大，设施还总凑合，但价格偏贵。总体感觉一般。,ChnSentiCorp_htl_all,865,demo_only_unlabeled
DEMO_15,HTL_R06334,酒店最大的特色就是房间大。问题在于，我在前台明明刷了两天的预授权，但是服务员却只给我做了一天的房卡，我每个月都会至少住一次太平洋，每次至少3天，每次只做一天房卡的事情发生也不止一次了！！而且楼层电话是坏的，没办法打到前台区，每次都害得我跑到大堂去重做房卡，这样的服务是在是让人气愤！！,ChnSentiCorp_htl_all,6334,demo_only_unlabeled
DEMO_16,HTL_R03213,房间不错，早餐也不错，就是上网不方便，自己设置了半天都不能上，叫服务员来看看，她只给了张IP地址的信息，还是上不了，折腾半天结果发现酒店把我房间里的网络线接错了，所以我才上不了！酒店在城东区，距离新长途站挺近，但是离市区尤其是火车站比较远――不过济源这地方火车也少！补充点评2007年6月14日：一进门就看到了那本“臭名昭著”的人体艺术，还好，密封封装得好好的……,ChnSentiCorp_htl_all,3213,demo_only_unlabeled
DEMO_17,HTL_R07496,"这家酒店怎么可能是五星级的呢?酒店房间小,装修普通,床比起其他五星级酒店小.这些暂且不说.服务员的态度真的是不敢恭维.我住在行政楼层,CHECKIN的时候,前台小姐竟然在接电话聊天,聊吃臭豆腐.1200的房价,预授权只做了1500.然后我晚上去吃饭签单签了400左右.服务员没有提醒,我也没有想到这事.晚上了,我已经准备睡觉了,突然电话打来硬是要我再去前台刷卡,我没办法只能再重新换好衣服拿着信用卡再去前台.酒店硬件方面也就不说什么了,但是服务员的水准确实有待提高,不然配不上这个房价!",ChnSentiCorp_htl_all,7496,demo_only_unlabeled
DEMO_18,HTL_R04215,"这个酒店的房间有点旧啦,估计开了有好几年了,房门要两个人里外合力才能打开.周围环境不怎么样,建议以后还是住海边那片的房比较好.服务态度还行,餐点就实在不怎么样了.以后不为了省钱还是别住那儿了",ChnSentiCorp_htl_all,4215,demo_only_unlabeled
DEMO_19,HTL_R04264,订的单人间，房间不大，隔音效果不是很好，可以听到隔壁说话的声音；房间里比较昏暗，但还算干净。旋转餐厅还不错，吃饭时心情很好。房间里没有吹风机，打个电话，服务员马上送来，态度很好。结帐时前台表情冷漠，不如check-in的态度好。补充点评2008年7月10日：门童服务超级差劲！我一个女孩子提着大箱子，他看了一眼，什么也没说什么也没做就走来了，令人心里很不舒服！！,ChnSentiCorp_htl_all,4264,demo_only_unlabeled
DEMO_20,HTL_R04770,"订的是双人房,感觉房间有点小,放了两张床之后就没什么空间了,沙发也只有一个单人的.觉得最不好的是洗手间太太太小了-好挤,门拉直打开就到浴缸的边了.除了小的问题之外,房间还是很舒服的.自助早餐不错,很丰富,可惜吃不了多少...会所在酒店外面,觉得有点不方便.有室内游泳池,去游泳还一定要求带游泳帽,最终没下水,有点郁闷.",ChnSentiCorp_htl_all,4770,demo_only_unlabeled
DEMO_21,HTL_R01084,"很不错的一家酒店,在当地来说是最好的了.客房设施在此价位相当到位,早餐口味及品种也很好,尤其是酒店的氛围绝对是优于临海其它酒店,感觉很好.补充点评2008年7月9日：很不错的一家酒店,在当地来说是最好的了.客房设施在此价位相当到位,早餐口味及品种也很好,尤其是酒店的氛围绝对是优于临海其它酒店,感觉很好.",ChnSentiCorp_htl_all,1084,demo_only_unlabeled
DEMO_22,HTL_R04712,"总体来说,对于这次入住还是比较满意的.房间设施和看到的图片基本一致,卫生间不错;客栈院子给人家的感觉,非常的不错.不过,客栈的服务方面,个人认为应该加以改进,尤其是在房间清扫这方面.",ChnSentiCorp_htl_all,4712,demo_only_unlabeled
DEMO_23,HTL_R06856,房间非常糟糕，零乱不堪，弥漫一阵腐霉气味，家具极其陈旧，地毯脏臭，冷热水不能调，龙头漏水，灯罩不翼而飞，不可想象居然还挂着三星的标志。有些酒店虽然营业时间久远，但维护得好，仍然可以入住。但此酒店简直象无人管理一样，破败不堪，非人可住的，与网站介绍完全不是一回事情。希望携程把好协议酒店的关，不能让此类酒店误导客户。,ChnSentiCorp_htl_all,6856,demo_only_unlabeled
DEMO_24,HTL_R00463,确实是山上最好的酒店，环境和设施都很不错。我们这次住的是曙光别墅7201房，其他的别墅是竹木屋联排的，一排四间，我们这间是单独的且是水泥的，所以比较隔音，别墅区有3间这样的房间。设施齐全，有电吹风，水热也蛮大，没有空调，但山上晚上只有18度，用不上空调。我们上黄山是奥运前2天，天很好，所以房间还比较干燥，浴室有些潮，有2件羽绒服和加盖的被子。饭没有在宾馆吃，无法评价。服务还不错，动作挺快。,ChnSentiCorp_htl_all,463,demo_only_unlabeled
DEMO_25,HTL_R00619,酒店虽小，但很温馨，飞机晚点半夜12点到，在南京路下车一拐就看到了，没有想象中的难度。特别是交通特别方便，出门就是地铁，走一点就是庙街。这个价钱住在这样的地方真的太好了。以后有机会还会住。,ChnSentiCorp_htl_all,619,demo_only_unlabeled
DEMO_26,HTL_R07386,"住了不少的酒店,一般过的去就不点评,这次实在是忍不住了,不少问题要反映下:1.地理位置地标不明显,司机找了半天,这个就不多说了2.到酒店门口,礼宾部人在旁边都不帮忙拿行李,(行!自己拿.)3.checkin搞了20分钟,有始以来最长的一次,(有点窝火了)4.客房走廊有异味,应该不是新装修的吧.房间里面也是一股味道,这点实在受不了.5.酒店工作人员看我,象见了鬼,各个底个头,招呼都不打.要不就是视而不见,更有看到礼宾的人员翘个脚在酒店的公用电话打电话.(无语)虽然不是星级酒店,设备差可以忍,但酒店管理和serves跟不上,就没有竞争力.下次到北京住如家也再不住这个宾馆了.",ChnSentiCorp_htl_all,7386,demo_only_unlabeled
DEMO_27,HTL_R01236,是个弱四星酒店，各方面比较均衡，旅游商务皆可考虑。若要挑刺的话有以下几点：一、价格是否能更优惠些，四百多的标房价格稍高了些。二、入口不是特别方便醒目。三、就四星而言，大堂稍微寒碜了点。友情提醒：国信大酒店位于两站地铁中间，行李多或天气差时，不要坐地铁前往。,ChnSentiCorp_htl_all,1236,demo_only_unlabeled
DEMO_28,HTL_R06613,1。房间很小，我住的是标准间A（2008年春节房价430元），根本不值，比上海市内的还要贵；2。空调的温度调节器很糟糕，搞懂该怎么调会费你许多时间，不信可以去试试，哈哈哈哈哈哈。。。不过房间还是很温暖，温度很高，建议开点窗户睡觉，以防被热醒；3。房间也不太干净，地毯脏兮兮的；4。送的早餐太简单，只能算充饥；5。下次不会再入住顺利大酒店，打算去住“莫泰崇明八一店”。,ChnSentiCorp_htl_all,6613,demo_only_unlabeled
DEMO_29,HTL_R00056,各方面都不错，性价比也比较高。就是有些房间内设施要打电话才送来，例如电吹风，地图等。我住的是B区，好像要档次低一些，但还可以，只是我住的房间刚好有半堵墙挡住了风景，但是我同事住的对着湖面很漂亮。健身区正在装修，所以没能去游泳和运动很遗憾。大堂满高档的。房间内饰比较朴素。早餐还行。区位也还行，虽然离漂亮的团还有点距离。,ChnSentiCorp_htl_all,56,demo_only_unlabeled
