sentence_id,review_id,sentence,context_before,context_after,sentence_index,annotations_json,annotation_status,source_dataset,source_record_index
HTL_S0012,HTL_R06083,入住时酒店的服务很好，大堂和房间一般，入住后发现房间的硬件较差，比如空调，马桶，尤其是电视遥控器非常差，几乎不能用。,,房间空调不管用，走廊也有味道。,0,,unlabeled,ChnSentiCorp_htl_all,6083
HTL_S0013,HTL_R07100,标榜3星，如果是3星，那么如家就是5星了。,很烂，真的很烂。,强烈不推荐！！！！！！！,1,,unlabeled,ChnSentiCorp_htl_all,7100
HTL_S0014,HTL_R01527,地理位置比较方便，环境还算不错，比较安静，房间也很干净！,,,0,,unlabeled,ChnSentiCorp_htl_all,1527
HTL_S0015,HTL_R07528,接近于四百这也叫便宜？？？,马上要求退房被拒绝后，酒店主动给我换了个房间，说是更豪华的房间，结果还是，，，，，不过好在窗户可以打开了，我就开着窗户睡了一会，酒店的浴巾居然带有异味（发霉的味道）我真不知道携程是出于什么心态跟这样的酒店签约，出于价格么？？？,奉劝大家千万别住这里。,4,,unlabeled,ChnSentiCorp_htl_all,7528
HTL_S0016,HTL_R00653,在香港我们没有乘坐过地铁，因为在熟悉周围环境后，我们觉得做地面交通更方便。,我们在市区呆了2天，充分享受了地理位置的优越。,我们去太平山看香港夜景时乘坐的就是有轨电车，不仅方便便宜，还能欣赏香港的街景。,7,,unlabeled,ChnSentiCorp_htl_all,653
HTL_S0017,HTL_R06118,"酒店太旧了,中午进房的时候吓了一跳,晚上进屋就好多了.",,因为灯光昏暗的关系.,0,,unlabeled,ChnSentiCorp_htl_all,6118
HTL_S0018,HTL_R05835,"酒店外观相对气派,但房间确实很简陋,设施陈旧,卫生一般,最多就是个90年代未的水平。",,不过大庆宾馆较少，找了一遍发现也的确再没有什么宾馆了。,0,,unlabeled,ChnSentiCorp_htl_all,5835
HTL_S0019,HTL_R05078,还不错，可以住一下，并且建议你住高一点层次的房间,,,0,,unlabeled,ChnSentiCorp_htl_all,5078
HTL_S0020,HTL_R03698,只好自已跑到路边打的，门童视而不见，令人感觉气愤。,出门打的时，去叫停在酒店门台上的出租，司机挑地方，一听比较近就不去了。,我就怎么也明白，酒店允许出租停在自已门口，到底是出租为客人服务呢，还是酒店的存在是为了出租司机服务呢。,8,,unlabeled,ChnSentiCorp_htl_all,3698
HTL_S0021,HTL_R05998,房间和走廊里味道很重，楼外下面马路上的声音很吵，早上隔壁的电视机的声音听的很清楚，可以当闹钟使用，但时间是隔壁定的，没有给“闹钟”定时，结帐的时候发票没有给我盖章，总的感觉是让人失望。,,今后不会再住了。,0,,unlabeled,ChnSentiCorp_htl_all,5998
HTL_S0022,HTL_R06312,"入住宾馆很失望,环境比较差,房间像招待所,正个房间充满着一股下水道的味道.",,"早晨起来,赶紧逃走.",0,,unlabeled,ChnSentiCorp_htl_all,6312
HTL_S0023,HTL_R00702,"价格在这个地段属于适中,附近有早餐店,小饭店,比较方便,无早也无所",,,0,,unlabeled,ChnSentiCorp_htl_all,702
HTL_S0024,HTL_R06114,房间很旧，早知道还不如住锦江。,日本人的酒店，居然日本料理做的那么差。,早餐味道不好，品种少。,1,,unlabeled,ChnSentiCorp_htl_all,6114
HTL_S0025,HTL_R05893,酒店外观看起来不错，但房间内的物品实在是太陈旧了，席梦思床竟然是左右高低不平的，一躺下人就会滚向一边，致电管家部后，很快来了一位服务生，也没怎么看情况，就动作熟练地干开了：将被子、枕头、床单等往行李桌上一扔，再将席梦思床翻个身，最后再将床单什么的一铺，整个动作非常连贯，真是一气呵成，看得出来，同样的事情服务生们做得多了。,,浴室内的大浴巾磨损得非常非常薄了，在别的酒店里早就不会再拿出来给客人用了，拖鞋象纸一样的都坚持不了多久的，梳子也没有的。,0,,unlabeled,ChnSentiCorp_htl_all,5893
HTL_S0026,HTL_R06831,房间更有意思，可能是为老干部们设计的，还铺绿色地毯！,哎~FB啊！,就一个字“大”，大的都空！！！,3,,unlabeled,ChnSentiCorp_htl_all,6831
HTL_S0027,HTL_R05943,但是任凭我们如何解释都没有办法挪动一步，这时后面来了车要进入酒店，由于我的车被拦住，结果谁都没法进去。,.,此时携程的电话已经回复，房间已经订好，可以立即入住。,13,,unlabeled,ChnSentiCorp_htl_all,5943
HTL_S0028,HTL_R03683,"性价比还可以,装修设备都挺不错~就是有些房间没有窗户~闷~还有就是有乱按门铃的~",,,0,,unlabeled,ChnSentiCorp_htl_all,3683
HTL_S0029,HTL_R05504,建议报销制度严格的朋友不要考虑这个酒店了.,"如果不是急着赶飞机的话,一定要找酒店要个说法!",,2,,unlabeled,ChnSentiCorp_htl_all,5504
HTL_S0030,HTL_R05560,酒店方非常重视客人的意见，也对提出意见的客人表示感谢!,2、您说“还是付了那400块才可以离开酒店”，事实上您在2月11日中午12：18分退房，酒店方没有收您的半日租，如果要收半日租，那也应该是全日租1960元的一半即980元。,真诚地希望每一位客人都能够对我们提出宝贵的意见反馈，以帮助我们改进和提升服务质量。,6,,unlabeled,ChnSentiCorp_htl_all,5560
HTL_S0031,HTL_R00565,"不知主楼如何,感觉来这里体验一下是值得的,不过下次我不会在这里住了.","我住七栋,对该处总的评价是:树好多,人好少,路好远,楼好矮,房好旧,网好慢.","提一句,服务确实不错,我出门之前,突然裤档开了,又急着要走,服务员迅速拿去帮我补了,还不收费.",1,,unlabeled,ChnSentiCorp_htl_all,565
HTL_S0032,HTL_R03647,"酒店很幽静,挺大的,尤其适合自驾游的朋友,在清净中寻找一点悠闲的感受,推荐9号楼标准间,480含双早,早上起来一点要去逛一逛旁边的晋祠,当地人还算淳朴,不过不","需要我出示携程卡,有点不爽!",,3,,unlabeled,ChnSentiCorp_htl_all,3647
HTL_S0033,HTL_R00427,软件方面还可以，要地图有免费地图送上门，草鞋托也算有点小意思，基本功还算到位。,另外，早餐也算基本满意吧，品种数量还可以，味道soso啦。,,6,,unlabeled,ChnSentiCorp_htl_all,427
HTL_S0034,HTL_R05904,房间很小，洗漱用品不全：沐浴液、洗发液和洗手液是三合一的，很不好用。,地点在十字路口边上，十分嘈杂，巴士车呼啦啦直到夜里11点。,服务态度不好。,1,,unlabeled,ChnSentiCorp_htl_all,5904
HTL_S0035,HTL_R04480,"早餐以主食为主,没什么下饭的菜,牛奶是用奶粉冲的,管饱不管好!","中餐厅卫生状况不好,餐具不干净,苍蝇多.",酒店客人团队多.,2,,unlabeled,ChnSentiCorp_htl_all,4480
HTL_S0036,HTL_R04044,酒店还算干净，送早餐，就是酒店名字容易让人误解，周围没有湖，感觉还可以。,,,0,,unlabeled,ChnSentiCorp_htl_all,4044
HTL_S0037,HTL_R01747,房间不错，环境好，早餐不错，就是比较吵！,,,0,,unlabeled,ChnSentiCorp_htl_all,1747
HTL_S0038,HTL_R00256,位置好，服务员热情，早餐不错，电梯也快。,,,0,,unlabeled,ChnSentiCorp_htl_all,256
HTL_S0039,HTL_R02000,朝南的房间靠近锅炉房，声音吵。,早餐还可以，停车方便，二楼餐厅很安静。,宾馆反馈2008年8月12日：回复：尊敬的宾客：首先非常感谢您对本酒店的肯定。,1,,unlabeled,ChnSentiCorp_htl_all,2000
HTL_S0040,HTL_R00443,设施很不错；周边环境不错，紧邻金沙滩；推荐海景房不足：比较偏；吃饭不放便；酒店自带的餐厅性价比太差。,,价格太贵，口味不好；,0,,unlabeled,ChnSentiCorp_htl_all,443
HTL_S0041,HTL_R05380,洗完澡时，发现浴巾上竟也有长头发！,晚餐吃出长头发，服务员竟不以为然！,如家在我心目中一直是快捷酒店的楷模，但这次入住北京团结湖店，令人大跌眼镜。,1,,unlabeled,ChnSentiCorp_htl_all,5380
HTL_S0042,HTL_R01567,1、地理位置是有些难找，那条路叫“体育馆路”，不是“体育关路”。,,地铁5号线“天坛东门站”出来步行约15分钟，在一个较深的巷子底，建议在十字路口多设指路牌。,0,,unlabeled,ChnSentiCorp_htl_all,1567
HTL_S0043,HTL_R03157,虽然房间比较小，有早餐而且性价比较高；我同时预定了3个房间，却竟然给安排在三个角落上，不知道怎么能这样补充点评2007年10月29日：还有：网速非常之慢，是我住过所有酒店里最慢的,,,0,,unlabeled,ChnSentiCorp_htl_all,3157
HTL_S0044,HTL_R04675,美眉漂亮不说，很温柔体贴，这都是上层的管理和制度的导向，我认为海悦确实是以人为本，全心全意的为客户着想，比起那些所谓的5星级不知道好多少倍！,呵呵！,前两天在锦江住店我还生了一回气呢！,7,,unlabeled,ChnSentiCorp_htl_all,4675
HTL_S0045,HTL_R02776,"服务很好,房间质量太差,差点被蚊子给吃了.",,.,0,,unlabeled,ChnSentiCorp_htl_all,2776
HTL_S0046,HTL_R07618,优点：位置佳，房间大，网速快缺点：不太清洁(卫生间及餐厅地上均发现小强)，整理房间方面有些疏忽(沐浴液用光没补充、热水壶内的水已有一段时间无清理)，外面比较嘈杂但房间隔音差，离开办生续时用了20分钟。,,,0,,unlabeled,ChnSentiCorp_htl_all,7618
HTL_S0047,HTL_R00549,优点：房间条件简洁、气氛温馨，住宿环境比较安静，价格比较合理，服务态度好；不足：窗户几乎与后面的房顶等高，加上没有防盗窗（网），安全感不高。,,,0,,unlabeled,ChnSentiCorp_htl_all,549
HTL_S0048,HTL_R07228,"早餐30,不能退,也不能期,太理.",,以后不再酒店.,0,,unlabeled,ChnSentiCorp_htl_all,7228
HTL_S0049,HTL_R03783,250的大床房还是蛮实惠的，地段也不错，离最中心地带很近，也很安静！,,就是感觉房间旧了点,0,,unlabeled,ChnSentiCorp_htl_all,3783
HTL_S0050,HTL_R05913,服务不则么样，太旧，旋转餐厅不转的，早餐的服务员好像我欠了他们钱一样，很差,,,0,,unlabeled,ChnSentiCorp_htl_all,5913
HTL_S0051,HTL_R07469,设施陈旧，饭店各区域之间的交通混乱，早餐品种少、品质差，优胜之处是周边的交通方便。,,,0,,unlabeled,ChnSentiCorp_htl_all,7469
HTL_S0052,HTL_R04236,性价比高的酒店，距离地铁近，邻华师大，环境好。,,,0,,unlabeled,ChnSentiCorp_htl_all,4236
HTL_S0053,HTL_R06389,很旧，很破，很差，很贵，以后再不住了。,,订房还要信用卡担保，就是怕别人看到现场改变主意，太恶心了。,0,,unlabeled,ChnSentiCorp_htl_all,6389
HTL_S0054,HTL_R00247,酒店规模大，楼层没有设置服务人员房间，所以找不到服务员；房间较冷（尤其是一层），订时务必要订二层以上。,,,0,,unlabeled,ChnSentiCorp_htl_all,247
HTL_S0055,HTL_R06994,晚上外面锅炉的声音很吵，下次不会再去入住了。,我要的是大床房的，房间超小而且没有桌子，使用宽带也很不方便还要接个东西，拨号的密码也要问了才告诉你。,,1,,unlabeled,ChnSentiCorp_htl_all,6994
HTL_S0056,HTL_R01606,四星级花园式度假酒店，达不到五星级标准，冬天去冷冷清清的，一定要选朝南向阳的房间，否则室内空调温度调到30摄氏度，实际最高也只能达到17摄氏度。,走沪杭高速的话，路过嘉兴东出口千万别下，到乍嘉苏高速匝道右转，再往前约10公里，到嘉兴出口，出了收费站左前方就是嘉兴世茂花园大酒店的入口。,早餐标准也是四星级的，不过有酸奶。,1,,unlabeled,ChnSentiCorp_htl_all,1606
HTL_S0057,HTL_R05708,不知道提前退房有没有奖励,"想延迟1小时退房,被告知延迟退房按钟点房收费,每小时50元,太没有人性了.",,1,,unlabeled,ChnSentiCorp_htl_all,5708
HTL_S0058,HTL_R07609,但一个忙完了后看到我站在台前也不知道主动招呼，而是去相帮另一个。,我办理入住的时候，两个接待小姐都在忙。,后面一个客人进来直接挤到我旁边，大声吆喝要办入住，那小姐立刻去帮他办理了。,3,,unlabeled,ChnSentiCorp_htl_all,7609
HTL_S0059,HTL_R04178,"出差途中无意中获得一张携程旅行网会员卡,通过网络订房及上网查询酒店的有关介绍,对其介绍的诸多荣誉很是好奇,入住期间所享受到的服务与大堂的荣誉榜甚是吻合,住宿、用餐、K歌及价位偶总体很满意。",,在此，谢谢携程网！,0,,unlabeled,ChnSentiCorp_htl_all,4178
HTL_S0060,HTL_R04806,每次到南充都住这里，这次有点特别，当时住十二楼碰到了汶川地震，楼摇晃的厉害（当时并不止地震发生在汶川），我急忙跑了下楼，到六点钟再回酒店时已关闭，但酒店还派了工作人员陪我一起上房间拿了行李并由总经理亲自驾车送我和同事去了他们的另一家酒店。,,唯一觉得不好的是舍不得开冷气，不过还是我在南充的不二之选。,0,,unlabeled,ChnSentiCorp_htl_all,4806
HTL_S0061,HTL_R01199,"我是第三次入住了,但是给这家宾馆留言还是第一次,,这次入住我的一位朋友喝醉了,走到大厅我朋友就""现场直播""了~~~~~呵呵,他们有几位服务员都主动来帮我,有一位服务员还帮我把我朋友背到了房间,过后他们值班经理还打电话到我房间询问我朋友的情况,这里的服务真的挺让我感动的,我下次还会入住这家宾馆.",,,0,,unlabeled,ChnSentiCorp_htl_all,1199
HTL_S0062,HTL_R05981,"按照对方理论,谁让我们是外地人呢,人家能给我们个地儿住就不错了.",基本不属于不会笑的或者是比较会耍NB的.,"最后,我要说的是,早餐只有中餐,虽是自助,但基本没有办法评论,我只提一点,早餐的橙汁是热的,原来是用市场上早已绝迹的TANG果珍冲泡的.",5,,unlabeled,ChnSentiCorp_htl_all,5981
HTL_S0063,HTL_R06384,很差，去到餐厅后发现什么也没有，当初在携程预定时所谓的双早根本没兑现，我们几位连早餐都没吃就结账走了，这个宾馆太需要改进了！,,,0,,unlabeled,ChnSentiCorp_htl_all,6384
HTL_S0064,HTL_R01839,"早餐很赞,很有当地特色,房间内设施有点旧了,好在有无敌海景大阳台,好象新楼在建了,期待ING.",,.,0,,unlabeled,ChnSentiCorp_htl_all,1839
HTL_S0065,HTL_R07628,补充点评2007年9月11日：虽然号称是5星级酒店，但是感觉其档次很低。,大堂是喧闹的，房间地毯是脏的，浴室淋浴龙头是坏的，毛巾是黄颜色的。,很多欢场女子出入其中，让人又不安的感觉。,1,,unlabeled,ChnSentiCorp_htl_all,7628
HTL_S0066,HTL_R04338,"房间设施一般,周围的环境较差,房价偏高.",,,0,,unlabeled,ChnSentiCorp_htl_all,4338
HTL_S0067,HTL_R03347,到前台发现酒店的广告是数码房间，原来我们订的房间有IPTV，有电脑，有VOD，所以很骄傲的说是数码房间，觉得好玩。,,服务态度好，但却一问三不知，没有宵夜，却有中药泡脚的骚扰电话。,0,,unlabeled,ChnSentiCorp_htl_all,3347
HTL_S0068,HTL_R05707,要不是我做事拖拉，提前订好海边的酒店，就不会弄到整个海边酒店满员，而零时住这家酒店了。,整个北海之行，这个酒店给我们很大的遗憾，哎！,,5,,unlabeled,ChnSentiCorp_htl_all,5707
HTL_S0069,HTL_R03987,"非常喜欢夜上海的美景,尤其是流光十色的外滩夜景!",,"上海曼哈顿商务酒店具外滩只有数百米,哈哈,真是意想不到的一转身就能饱览全上海最美的地方,一回头就能融入最繁华的南京路!",0,,unlabeled,ChnSentiCorp_htl_all,3987
HTL_S0070,HTL_R05323,服务态度极其差，前台接待好象没有受过培训，连基本的礼貌都不懂，竟然同时接待几个客人；大堂副理更差，跟客人辩解个没完，要总经理的电话投诉竟然都不敢给。,,要是没有作什么亏心事情，跟本不用这么怕。,0,,unlabeled,ChnSentiCorp_htl_all,5323
HTL_S0071,HTL_R02817,本来预定普通标间，到前台才知道没有房间了，故此升级到携程上没有的豪华大床房，房间不大但很干净，我很满意。,,酒店斜对面是家专卖俄罗斯商品的商店，延路一直走没几步就可以到江边，景色还不错，如果下次出差还会住这里。,0,,unlabeled,ChnSentiCorp_htl_all,2817
HTL_S0072,HTL_R01362,喜来登的总体还是不错的，比较这个酒店时间久了，比较老。,,早餐还是不错。,0,,unlabeled,ChnSentiCorp_htl_all,1362
HTL_S0073,HTL_R00951,建议您可关心一下我宾馆推出的各类优惠促销活动，再根据自身的要求有针对性地选择性价比最高的产品。,但是目前每周五、六、日还是有周末促销价格推出，尤其是行政房在推出优惠价格的情况下，仍予以宾客享受诸如：免费使用下午茶、根据宾馆入住率可延长退房时间至下午16：00、免费使用指定会议室两小时、入住首日赠送欢迎鲜花水果等一系列优惠政策。,希望您能够一如既往地支持我宾馆，我们也将以更出色的服务来回报您。,17,,unlabeled,ChnSentiCorp_htl_all,951
HTL_S0074,HTL_R06737,最后给了总统套房，由协程出多出来的部分。,我们坚决不肯就范，要求协程出面解决！！,如果大家以后碰到这种事情千万不能妥协，要求协程出面解决！,4,,unlabeled,ChnSentiCorp_htl_all,6737
HTL_S0075,HTL_R03249,所以，同行的都说性价比十分高。,还有数字点播电视全部免费，再赞！,,6,,unlabeled,ChnSentiCorp_htl_all,3249
HTL_S0076,HTL_R04800,地段比较有优势，而且老外也住习惯了，每次都是这里。,,,0,,unlabeled,ChnSentiCorp_htl_all,4800
HTL_S0077,HTL_R05999,"办理了手续(付了押金),然后晚上再拿房卡.",在下午3点左右入住竟然没有打扫好房间!,"如此一来,竟然对携程说我没有入住!!!",3,,unlabeled,ChnSentiCorp_htl_all,5999
HTL_S0078,HTL_R06363,我很多年没见过这阵势了。,哈哈！,,3,,unlabeled,ChnSentiCorp_htl_all,6363
HTL_S0079,HTL_R03915,宾馆反馈2008年4月28日：非常感谢您的入住及您对我们的肯定，我们将为您以后的每一次入住提供更贴心的服务！,因为是替别人订的，进去看了以后觉得设施蛮齐全的，要的大床房的确很大很舒服，以后要订也会再订这家的。,期待您的入住！,2,,unlabeled,ChnSentiCorp_htl_all,3915
HTL_S0080,HTL_R06259,根本不是酒店，不是人住的，房间加洗手间一共就6个平方，走路的地方都没有，而且卫生设施非常差，电视机小的看不到，加起来才3频道，简直就是难民营！！,,强烈建议大家不要图便宜住这家酒店！！,0,,unlabeled,ChnSentiCorp_htl_all,6259
HTL_S0081,HTL_R05926,酒店很旧，很小，楼道里黑暗，其实就是个小旅馆的设施。,,建议不要去，吉林省宾馆还不错。,0,,unlabeled,ChnSentiCorp_htl_all,5926
HTL_S0082,HTL_R03588,宽带慢得像蜗牛，他们居然说就是这样。,除了地段好之外，其他没有一样好的。,大堂和客房是在不同楼里，我登记后要拿行李出门去旁边的楼坐电梯。,1,,unlabeled,ChnSentiCorp_htl_all,3588
HTL_S0083,HTL_R00429,不能给人什么深刻印象，老五星，价格比较低。。。,,可以入住。。,0,,unlabeled,ChnSentiCorp_htl_all,429
HTL_S0084,HTL_R05301,房间超大，不是一般的大。,,哈哈哈哈哈哈哈哈哈哈补充点评2008年8月11日：周围吃东西的地方比较少。,0,,unlabeled,ChnSentiCorp_htl_all,5301
HTL_S0085,HTL_R01918,二楼的餐厅服务很到位，赞一个。,酒店应该是唐山最好的酒店。,,1,,unlabeled,ChnSentiCorp_htl_all,1918
HTL_S0086,HTL_R05979,房间小，卫生间小，居然还是蹲便。。。,地点也差。,,3,,unlabeled,ChnSentiCorp_htl_all,5979
HTL_S0087,HTL_R06657,"可能是以上海地区而言不算贵吧,但是一切都乏善可陈,就是说不出甚么特别不好的,但是也说不出一点好的,反正如果住这种酒店,不如委屈点住廉价连锁酒店还可以省钱早餐没啥东西吃,又是一个扣分项目,前台和服务员动作很慢,还好离机场近,不然不早退房会赶不上飞机",,,0,,unlabeled,ChnSentiCorp_htl_all,6657
HTL_S0088,HTL_R03073,酒店的外、内部环境还是很不错的，服务生的服务意识也还可以，但里面吃的东东有些贵，另外携程确认定单时间有些拖延，打车到了宾馆后，被通知没有３２０元的房间了，只能住５２０的了，呜．．．对于自助旅行的偶来讲，有些奢侈．．．．．,,,0,,unlabeled,ChnSentiCorp_htl_all,3073
HTL_S0089,HTL_R02312,放三张大床也有够大的空间.,豪华间非常大.,非常不错.,6,,unlabeled,ChnSentiCorp_htl_all,2312
HTL_S0090,HTL_R07509,我费了老大的劲才研究出来的，原来里面的那个平面是倾斜的，水所以就顺流而下了，一直流到外面。,等洗完之后，浴室里已经是水漫金山了。,还有，饭店没有大堂，和隔壁一个公寓或者说是商务区公用一个小小的区域，被称作大堂。,4,,unlabeled,ChnSentiCorp_htl_all,7509
HTL_S0091,HTL_R01216,满意服务态度一流，看到的全是笑脸！,洗了衣服本挂在洗手间的，等外出回来，已经拿架子挂在阳台上！,开心房间虽然设施老化，但很干净！,1,,unlabeled,ChnSentiCorp_htl_all,1216
HTL_S0092,HTL_R02672,提供免费机场接送，早上出发时，接送的别克商务车随到随发，挺方便。,,,0,,unlabeled,ChnSentiCorp_htl_all,2672
HTL_S0093,HTL_R06371,豪华商务房与豪华单人间简直天地差别。,后来终于答应给我换成豪华商务房。,没话说的。,11,,unlabeled,ChnSentiCorp_htl_all,6371
HTL_S0094,HTL_R02688,"早餐的种类算比较多,不错。","从房间的阳台望出去的风景真是太美了,房间的装修开始陈旧了.","温泉里的服务也很好,温泉池也比较干净.",2,,unlabeled,ChnSentiCorp_htl_all,2688
HTL_S0095,HTL_R06099,398元，我们加点钱，去住了“泛海名人酒店”，真是一个天一个地啊，着实让我体验了一把什么叫“从地狱到天堂”的感觉。,以后也不敢再住了！！！！,补充一点：离开青岛后去了郑州和山西，刚回来，正想上来发帖子，就看见了前面这位兄弟的评价，实在深有同感，故借鉴了几点意见进行了修改和补充，不过看的出，我住的房间应该比你的还要小。,42,,unlabeled,ChnSentiCorp_htl_all,6099
HTL_S0096,HTL_R01689,订的市景双床房，免费升级到豪华双床房，感觉很好。,,服务台工作人员耐心有礼貌，态度很好。,0,,unlabeled,ChnSentiCorp_htl_all,1689
HTL_S0097,HTL_R01472,和女友一起，在海滩上休息玩耍时，看到美丽的亚龙湾景色，当时又正愁没有相机合影的苦恼时，发觉有酒店的一名工作人员到海边来拍外景。,由于匆忙，连相机都没来得及带。,于是我们请求他帮我们拍了好几张合影。,4,,unlabeled,ChnSentiCorp_htl_all,1472
HTL_S0098,HTL_R06448,下午五点到的宾馆，由于携程网页上提供的信息有误，前台既没有解决问题的诚意（前台经理居然在途中人间蒸发，不见踪影），又不肯主动和携程取得联系。,因为是自驾游，考虑到停车方便，选择了离市区较远的凯悦。,只能由我们自己联系携程。,6,,unlabeled,ChnSentiCorp_htl_all,6448
HTL_S0099,HTL_R03263,正赶上游泳池清理换水，不过泳池周围很漂亮，玻璃屋顶，很温暖，像到了亚热带，照了几张相。,早餐到9：30，品种较多，刷卡结帐很快，总体服务挺好。,如果去香格里拉应该去好酒店，因为毕竟是个在高原的小城市，不见得还会去第二次。,5,,unlabeled,ChnSentiCorp_htl_all,3263
HTL_S0100,HTL_R05823,前台态度也不好，对客人爱理不理的。,酒店的门童如同虚设既不会帮客人开门，更不要说帮客人拿行李了。,房间设施一般，网速不仅慢还会经常断网。,3,,unlabeled,ChnSentiCorp_htl_all,5823
HTL_S0101,HTL_R05422,简直受不了啊，居然有蟑螂，一共消灭了3只，作为1家4星的酒店居然这样很失望，而且上网速度简直太慢了,,,0,,unlabeled,ChnSentiCorp_htl_all,5422
HTL_S0102,HTL_R06092,"接机服务还不错,那天是酒店喊了辆出租车把我们送回酒店的,但房间太小,布置也不温馨,其他房间一直有人进出,隔音条件很不好,最可气的是,第二天一早七点,隔壁房间竟然在打冲击钻施工,太差了!",,下次绝对不住了!,0,,unlabeled,ChnSentiCorp_htl_all,6092
HTL_S0103,HTL_R06977,感谢您提出的建议和意见，并诚挚的邀请您能再次入住港湾大酒店！,宾馆反馈2008年5月7日：尊敬的宾客，厦门港湾大酒店对于您在入住期间感受到的不便深表遗憾和歉意，酒店方面将虚心接受您提出的宝贵意见，并切实加以改进。,,14,,unlabeled,ChnSentiCorp_htl_all,6977
HTL_S0104,HTL_R05953,不咋地不象四星标准也没按摩的倒是有热水哪天,,,0,,unlabeled,ChnSentiCorp_htl_all,5953
HTL_S0105,HTL_R02116,合庆确实不错，我住的商务单间，房间很大，设施很齐全，很温馨的感觉。,,尤其让我满意的是酒店后边的小山，沿着小路一直走上去，很多树，还有一些盛开的小花，小山的一侧就是清澈的海水，远处是一些小岛，尤其在夏天去，感觉非常舒服。,0,,unlabeled,ChnSentiCorp_htl_all,2116
HTL_S0106,HTL_R06752,"挂了""请即打扫""牌,整天也没人来打扫.","服务:房间有老鼠,致电前台两次,等了1小时也没人来.",3.,4,,unlabeled,ChnSentiCorp_htl_all,6752
HTL_S0107,HTL_R06704,"入住用了一小时,退房用了一小时.","结帐的时候,不给看消费清单就要刷卡,还把房间号给搞错.","太可怕了,下次坚决不住了.",3,,unlabeled,ChnSentiCorp_htl_all,6704
HTL_S0108,HTL_R01682,定的是特惠的大床房，给免费升级了，升到啥不记得了，反正挺好的。,环境较好，服务到位。,这个月带孩子再次到杭州旅游，仍旧选择了该酒店。,2,,unlabeled,ChnSentiCorp_htl_all,1682
